word,anger,disgust,fear,joy,sadness,surprise,hope,preproc_word
indifference,1,1,1,0,1,0,0,indiffer
huff,1,1,0,0,0,0,0,huff
cussed,1,0,0,0,0,0,0,cuss
exacerbation,1,0,1,0,0,0,0,exacerb
vote,1,0,0,1,1,1,1,vote
grumpy,1,1,0,0,1,0,0,grumpi
brazen,1,0,0,0,0,0,0,brazen
altercation,1,0,0,0,0,0,0,alterc
conflagration,1,0,1,0,0,0,0,conflagr
suppression,1,1,1,0,0,0,0,suppress
caution,1,0,1,0,0,0,0,caution
react,1,0,1,0,0,0,0,react
usurped,1,0,1,0,0,0,0,usurp
brimstone,1,0,1,0,0,0,0,brimston
bickering,1,1,0,0,0,0,0,bicker
controversial,1,0,0,0,0,0,0,controversi
repellent,1,1,1,0,0,0,0,repel
unfair,1,1,0,0,1,0,0,unfair
epidemic,1,1,1,0,1,1,0,epidem
meddle,1,0,0,0,0,0,0,meddl
distracting,1,0,0,0,0,0,0,distract
tariff,1,1,0,0,0,0,0,tariff
resign,1,1,1,0,1,0,0,resign
delinquent,1,1,0,0,0,0,0,delinqu
vicious,1,1,0,0,0,0,0,viciou
destructive,1,1,1,0,0,0,0,destruct
bile,1,1,0,0,0,0,0,bile
antichrist,1,1,1,0,0,0,0,antichrist
objection,1,0,0,0,0,0,0,object
defraud,1,1,0,0,0,0,0,defraud
whip,1,0,0,0,0,0,0,whip
gall,1,1,0,0,0,0,0,gall
versus,1,0,0,0,0,0,0,versu
annihilate,1,0,1,0,0,0,0,annihil
brutal,1,0,1,0,0,0,0,brutal
infantile,1,1,0,0,0,0,0,infantil
dupe,1,0,0,0,0,0,0,dupe
shock,1,0,1,0,0,1,0,shock
gruff,1,1,0,0,0,0,0,gruff
defamatory,1,0,0,0,0,0,0,defamatori
hot,1,0,0,0,0,0,0,hot
denounce,1,1,0,0,0,0,0,denounc
inflict,1,0,1,0,1,0,0,inflict
anxiety,1,0,1,0,1,0,0,anxieti
pique,1,0,0,0,0,0,0,piqu
guilty,1,0,0,0,1,0,0,guilti
legalized,1,0,1,1,0,0,0,legal
revolution,1,0,1,0,1,1,1,revolut
exasperation,1,1,0,0,0,0,0,exasper
abandonment,1,0,1,0,1,1,0,abandon
lash,1,0,1,0,0,0,0,lash
troublesome,1,0,1,0,0,0,0,troublesom
intolerable,1,0,0,0,0,0,0,intoler
scorpion,1,1,1,0,0,1,0,scorpion
picketing,1,0,0,0,0,0,0,picket
mistress,1,1,0,0,0,0,0,mistress
disturbance,1,0,1,0,1,1,0,disturb
misplace,1,1,0,0,0,0,0,misplac
canker,1,1,0,0,0,0,0,canker
vindictive,1,1,0,0,0,0,0,vindict
treason,1,1,1,0,0,1,0,treason
tease,1,0,0,0,1,0,0,teas
unsympathetic,1,0,0,0,0,0,0,unsympathet
ravenous,1,0,1,0,1,0,0,raven
unequal,1,1,1,0,1,0,0,unequ
manslaughter,1,1,1,0,1,1,0,manslaught
